0.000000000000000000e+00,2.999999999999999889e-01,2.019325445169473099e-01
1.000000000000000000e+00,5.999999999999999778e-01,5.641265399756845156e-01
2.000000000000000000e+00,1.100000000000000089e+00,1.073151967300278731e+00
3.000000000000000000e+00,2.000000000000000000e+00,1.890959148652993083e+00
4.000000000000000000e+00,3.299999999999999822e+00,3.157056232112065430e+00
5.000000000000000000e+00,5.000000000000000000e+00,4.911698124138796473e+00
6.000000000000000000e+00,7.000000000000000000e+00,7.034626856095249181e+00
7.000000000000000000e+00,9.199999999999999289e+00,9.285755962177555389e+00
8.000000000000000000e+00,1.130000000000000071e+01,1.142621767126218479e+01
9.000000000000000000e+00,1.319999999999999929e+01,1.330272807729154749e+01
1.000000000000000000e+01,1.490000000000000036e+01,1.485467918089379324e+01
1.100000000000000000e+01,1.619999999999999929e+01,1.608378846827255160e+01
1.200000000000000000e+01,1.710000000000000142e+01,1.702323253966083882e+01
1.300000000000000000e+01,1.780000000000000071e+01,1.771756851705668012e+01
1.400000000000000000e+01,1.830000000000000071e+01,1.821212254321514834e+01
1.500000000000000000e+01,1.850000000000000000e+01,1.854823507204994470e+01
1.600000000000000000e+01,1.869999999999999929e+01,1.876157168674650322e+01
1.700000000000000000e+01,1.880000000000000071e+01,1.888193018415979907e+01
1.800000000000000000e+01,1.889999999999999858e+01,1.893367652661055445e+01
1.900000000000000000e+01,1.889999999999999858e+01,1.893640589666312124e+01
2.000000000000000000e+01,1.889999999999999858e+01,1.890564008860455658e+01
2.100000000000000000e+01,1.880000000000000071e+01,1.885347330504128038e+01
2.200000000000000000e+01,1.889999999999999858e+01,1.878915843255335361e+01
