Total number of NODE iterations: 1000
--------------------------------------------------

1, 1.6232E-02, 7.0830
2, 1.6232E-02, 0.0721
3, 1.6232E-02, 0.0916
4, 1.6232E-02, 0.0700
5, 1.6232E-02, 0.0717
6, 1.6116E-02, 0.0727
7, 1.6054E-02, 0.0939
8, 1.6054E-02, 0.0819
9, 1.6054E-02, 0.0708
10, 1.6054E-02, 0.0703
11, 1.5995E-02, 0.0926
12, 1.5985E-02, 0.0713
13, 1.5985E-02, 0.0917
14, 1.5985E-02, 0.0812
15, 1.5985E-02, 0.0929
16, 1.5985E-02, 0.0860
17, 1.5967E-02, 0.0697
18, 1.5967E-02, 0.0708
19, 1.5967E-02, 0.0695
20, 1.5967E-02, 0.0697
21, 1.5967E-02, 0.0904
22, 1.5962E-02, 0.0716
23, 1.5962E-02, 0.0914
24, 1.5962E-02, 0.0716
25, 1.5962E-02, 0.0707
26, 1.5962E-02, 0.0702
27, 1.5948E-02, 0.0695
28, 1.5948E-02, 0.0703
29, 1.5948E-02, 0.0694
30, 1.5948E-02, 0.0690
31, 1.5948E-02, 0.0706
32, 1.5939E-02, 0.0700
33, 1.5939E-02, 0.0698
34, 1.5939E-02, 0.0702
35, 1.5939E-02, 0.0741
36, 1.5939E-02, 0.0744
37, 1.5935E-02, 0.0930
38, 1.5935E-02, 0.0729
39, 1.5935E-02, 0.0927
40, 1.5935E-02, 0.0734
41, 1.5935E-02, 0.0792
42, 1.5931E-02, 0.0898
43, 1.5931E-02, 0.0696
44, 1.5931E-02, 0.0703
45, 1.5931E-02, 0.0702
46, 1.5929E-02, 0.0697
47, 1.5926E-02, 0.0697
48, 1.5926E-02, 0.0690
49, 1.5926E-02, 0.0697
50, 1.5926E-02, 0.0711
51, 1.5921E-02, 0.0692
52, 1.5921E-02, 0.0696
53, 1.5921E-02, 0.0689
54, 1.5921E-02, 0.0696
55, 1.5918E-02, 0.0693
56, 1.5917E-02, 0.0696
57, 1.5917E-02, 0.0891
58, 1.5917E-02, 0.0884
59, 1.5915E-02, 0.0700
60, 1.5912E-02, 0.0703
61, 1.5912E-02, 0.0690
62, 1.5912E-02, 0.0896
63, 1.5911E-02, 0.0705
64, 1.5908E-02, 0.0694
65, 1.5907E-02, 0.0701
66, 1.5907E-02, 0.0696
67, 1.5906E-02, 0.0693
68, 1.5904E-02, 0.0701
69, 1.5902E-02, 0.0693
70, 1.5902E-02, 0.0690
71, 1.5901E-02, 0.0690
72, 1.5899E-02, 0.0698
73, 1.5898E-02, 0.0689
74, 1.5897E-02, 0.0685
75, 1.5896E-02, 0.0690
76, 1.5895E-02, 0.0687
77, 1.5893E-02, 0.0721
78, 1.5892E-02, 0.0708
79, 1.5891E-02, 0.0705
80, 1.5890E-02, 0.0908
81, 1.5888E-02, 0.0911
82, 1.5887E-02, 0.0712
83, 1.5886E-02, 0.0686
84, 1.5885E-02, 0.0908
85, 1.5883E-02, 0.0884
86, 1.5882E-02, 0.0700
87, 1.5881E-02, 0.0698
88, 1.5879E-02, 0.0706
89, 1.5878E-02, 0.0702
90, 1.5877E-02, 0.0882
91, 1.5876E-02, 0.0721
92, 1.5874E-02, 0.0726
93, 1.5873E-02, 0.0720
94, 1.5872E-02, 0.0925
95, 1.5870E-02, 0.0712
96, 1.5869E-02, 0.0719
97, 1.5867E-02, 0.0712
98, 1.5866E-02, 0.0907
99, 1.5865E-02, 0.0772
100, 1.5863E-02, 0.0703
101, 1.5862E-02, 0.0912
102, 1.5860E-02, 0.0765
103, 1.5859E-02, 0.0699
104, 1.5857E-02, 0.0888
105, 1.5856E-02, 0.0693
106, 1.5855E-02, 0.0687
107, 1.5853E-02, 0.0689
108, 1.5852E-02, 0.0687
109, 1.5850E-02, 0.0697
110, 1.5849E-02, 0.0693
111, 1.5847E-02, 0.0699
112, 1.5846E-02, 0.0718
113, 1.5844E-02, 0.0705
114, 1.5843E-02, 0.0704
115, 1.5841E-02, 0.0711
116, 1.5839E-02, 0.0708
117, 1.5838E-02, 0.0709
118, 1.5836E-02, 0.0709
119, 1.5835E-02, 0.0688
120, 1.5833E-02, 0.0695
121, 1.5832E-02, 0.0730
122, 1.5830E-02, 0.0915
123, 1.5828E-02, 0.0775
124, 1.5827E-02, 0.0715
125, 1.5825E-02, 0.0724
126, 1.5823E-02, 0.0722
127, 1.5822E-02, 0.0711
128, 1.5820E-02, 0.0725
129, 1.5818E-02, 0.0724
130, 1.5817E-02, 0.0715
131, 1.5815E-02, 0.0709
132, 1.5813E-02, 0.0937
133, 1.5811E-02, 0.0728
134, 1.5810E-02, 0.0719
135, 1.5808E-02, 0.0708
136, 1.5806E-02, 0.0692
137, 1.5804E-02, 0.0681
138, 1.5803E-02, 0.0692
139, 1.5801E-02, 0.0706
140, 1.5799E-02, 0.0712
141, 1.5797E-02, 0.0704
142, 1.5795E-02, 0.0836
143, 1.5793E-02, 0.0721
144, 1.5792E-02, 0.0726
145, 1.5790E-02, 0.0714
146, 1.5788E-02, 0.0708
147, 1.5786E-02, 0.0705
148, 1.5784E-02, 0.0683
149, 1.5782E-02, 0.0694
150, 1.5780E-02, 0.0714
151, 1.5778E-02, 0.0890
152, 1.5776E-02, 0.0691
153, 1.5774E-02, 0.0685
154, 1.5772E-02, 0.0688
155, 1.5770E-02, 0.0688
156, 1.5768E-02, 0.0689
157, 1.5766E-02, 0.0879
158, 1.5764E-02, 0.0683
159, 1.5762E-02, 0.0687
160, 1.5760E-02, 0.0701
161, 1.5758E-02, 0.0689
162, 1.5756E-02, 0.0688
163, 1.5754E-02, 0.0685
164, 1.5752E-02, 0.0697
165, 1.5750E-02, 0.0696
166, 1.5747E-02, 0.0899
167, 1.5745E-02, 0.0701
168, 1.5743E-02, 0.0689
169, 1.5741E-02, 0.0684
170, 1.5739E-02, 0.0684
171, 1.5737E-02, 0.0685
172, 1.5734E-02, 0.0690
173, 1.5732E-02, 0.0693
174, 1.5730E-02, 0.0860
175, 1.5728E-02, 0.0687
176, 1.5725E-02, 0.0689
177, 1.5723E-02, 0.0699
178, 1.5721E-02, 0.0712
179, 1.5718E-02, 0.0708
180, 1.5716E-02, 0.0694
181, 1.5714E-02, 0.0711
182, 1.5711E-02, 0.0693
183, 1.5709E-02, 0.0705
184, 1.5706E-02, 0.0710
185, 1.5704E-02, 0.0721
186, 1.5701E-02, 0.0727
187, 1.5699E-02, 0.0727
188, 1.5697E-02, 0.0684
189, 1.5694E-02, 0.0699
190, 1.5691E-02, 0.0683
191, 1.5689E-02, 0.0683
192, 1.5686E-02, 0.0701
193, 1.5684E-02, 0.0687
194, 1.5681E-02, 0.0692
195, 1.5679E-02, 0.0693
196, 1.5676E-02, 0.0688
197, 1.5673E-02, 0.0695
198, 1.5671E-02, 0.0707
199, 1.5668E-02, 0.0687
200, 1.5665E-02, 0.0697
201, 1.5663E-02, 0.0698
202, 1.5660E-02, 0.0701
203, 1.5657E-02, 0.0687
204, 1.5654E-02, 0.0693
205, 1.5652E-02, 0.0690
206, 1.5649E-02, 0.0689
207, 1.5646E-02, 0.0693
208, 1.5643E-02, 0.0707
209, 1.5640E-02, 0.0711
210, 1.5637E-02, 0.0709
211, 1.5634E-02, 0.0915
212, 1.5632E-02, 0.0731
213, 1.5629E-02, 0.0721
214, 1.5626E-02, 0.0712
215, 1.5623E-02, 0.0757
216, 1.5620E-02, 0.0695
217, 1.5617E-02, 0.0691
218, 1.5614E-02, 0.0689
219, 1.5610E-02, 0.0689
220, 1.5607E-02, 0.0708
221, 1.5604E-02, 0.0710
222, 1.5601E-02, 0.0696
223, 1.5598E-02, 0.0693
224, 1.5595E-02, 0.0706
225, 1.5592E-02, 0.0699
226, 1.5588E-02, 0.0692
227, 1.5585E-02, 0.0722
228, 1.5582E-02, 0.0712
229, 1.5579E-02, 0.0912
230, 1.5575E-02, 0.0910
231, 1.5572E-02, 0.0729
232, 1.5569E-02, 0.0712
233, 1.5565E-02, 0.0695
234, 1.5562E-02, 0.0686
235, 1.5558E-02, 0.0688
236, 1.5555E-02, 0.0698
237, 1.5551E-02, 0.0705
238, 1.5548E-02, 0.0694
239, 1.5544E-02, 0.0704
240, 1.5541E-02, 0.0691
241, 1.5537E-02, 0.0687
242, 1.5533E-02, 0.0686
243, 1.5530E-02, 0.0694
244, 1.5526E-02, 0.0691
245, 1.5522E-02, 0.0694
246, 1.5519E-02, 0.0695
247, 1.5515E-02, 0.0687
248, 1.5511E-02, 0.0689
249, 1.5507E-02, 0.0703
250, 1.5504E-02, 0.0699
251, 1.5500E-02, 0.0913
252, 1.5496E-02, 0.0706
253, 1.5492E-02, 0.0817
254, 1.5488E-02, 0.0904
255, 1.5484E-02, 0.0721
