Total number of NODE iterations: 1000
--------------------------------------------------

1, 4.7174E-02, 4.0897
2, 4.7128E-02, 0.1983
3, 4.7128E-02, 0.2033
4, 4.7128E-02, 0.2059
5, 4.7128E-02, 0.2016
6, 4.7128E-02, 0.2095
7, 4.7128E-02, 0.2000
8, 4.7128E-02, 0.1954
9, 4.7123E-02, 0.2000
10, 4.7123E-02, 0.2064
11, 4.7123E-02, 0.2021
12, 4.7123E-02, 0.2057
13, 4.7123E-02, 0.1982
14, 4.7123E-02, 0.2039
15, 4.7123E-02, 0.2004
16, 4.7122E-02, 0.2006
17, 4.7117E-02, 0.2010
18, 4.7116E-02, 0.1984
19, 4.7116E-02, 0.2076
20, 4.7116E-02, 0.2029
21, 4.7116E-02, 0.2003
22, 4.7116E-02, 0.2026
23, 4.7116E-02, 0.2104
24, 4.7113E-02, 0.2009
25, 4.7110E-02, 0.2013
26, 4.7109E-02, 0.2001
27, 4.7109E-02, 0.2019
28, 4.7109E-02, 0.2035
29, 4.7109E-02, 0.2045
30, 4.7109E-02, 0.2067
31, 4.7107E-02, 0.2010
32, 4.7104E-02, 0.2137
33, 4.7102E-02, 0.2053
34, 4.7101E-02, 0.2076
35, 4.7101E-02, 0.2026
36, 4.7101E-02, 0.2160
37, 4.7100E-02, 0.2040
38, 4.7099E-02, 0.2051
39, 4.7097E-02, 0.2002
40, 4.7096E-02, 0.2064
41, 4.7094E-02, 0.2008
42, 4.7093E-02, 0.2018
43, 4.7093E-02, 0.2026
44, 4.7092E-02, 0.2064
45, 4.7091E-02, 0.2080
46, 4.7090E-02, 0.2112
47, 4.7088E-02, 0.2075
48, 4.7087E-02, 0.2053
49, 4.7086E-02, 0.2032
50, 4.7085E-02, 0.2065
51, 4.7084E-02, 0.2059
52, 4.7083E-02, 0.2076
53, 4.7082E-02, 0.2074
54, 4.7081E-02, 0.2093
55, 4.7080E-02, 0.2048
56, 4.7078E-02, 0.2046
57, 4.7077E-02, 0.2055
58, 4.7076E-02, 0.2063
59, 4.7075E-02, 0.2044
60, 4.7074E-02, 0.2018
61, 4.7073E-02, 0.2069
62, 4.7072E-02, 0.2030
63, 4.7071E-02, 0.2083
64, 4.7070E-02, 0.2062
65, 4.7069E-02, 0.2079
66, 4.7067E-02, 0.2074
67, 4.7066E-02, 0.2027
68, 4.7065E-02, 0.2029
69, 4.7064E-02, 0.2116
70, 4.7063E-02, 0.2005
71, 4.7062E-02, 0.2082
72, 4.7061E-02, 0.2103
73, 4.7059E-02, 0.2045
74, 4.7058E-02, 0.2072
75, 4.7057E-02, 0.2096
76, 4.7056E-02, 0.2067
77, 4.7055E-02, 0.2025
78, 4.7053E-02, 0.2063
79, 4.7052E-02, 0.2059
