0.00000000,0.25135489
0.10000000,0.89935547
0.20000000,2.21553577
0.30000000,3.53934070
0.40000000,3.50527727
0.50000000,4.34669033
0.60000000,6.10502091
0.70000000,6.54925199
0.80000000,6.81081317
0.90000000,8.26595459
1.00000000,8.78627167
1.10000000,9.94418662
1.20000000,11.65540249
1.30000000,12.21292272
1.40000000,14.42061141
1.50000000,17.89011696
1.60000000,21.90807022
1.70000000,29.46371129
1.80000000,41.22771235
1.90000000,63.87215295
2.00000000,94.04941518
2.10000000,104.66265494
2.20000000,104.57872541
2.30000000,101.08440790
2.40000000,97.80596080
2.50000000,93.76946247
2.60000000,88.33797434
2.70000000,84.06888478
2.80000000,78.42240859
2.90000000,73.41737574
3.00000000,68.16004785
3.10000000,64.40589947
3.20000000,58.59337012
3.30000000,53.33166725
3.40000000,49.68022473
3.50000000,44.15755616
3.60000000,40.47662608
3.70000000,35.00849377
3.80000000,30.90943305
3.90000000,27.09055026
4.00000000,22.42884342
4.10000000,16.65994395
4.20000000,10.36750953
4.30000000,3.71582241
4.40000000,-2.89215063
4.50000000,-6.77123159
4.60000000,-8.91129199
4.70000000,-9.11011593
4.80000000,-9.81612048
4.90000000,-10.96875337
5.00000000,-9.89482804
5.10000000,-10.19222893
5.20000000,-10.25848520
5.30000000,-9.51448218
5.40000000,-9.20373461
5.50000000,-9.15064032
5.60000000,-9.93871573
5.70000000,-9.55865328
5.80000000,-9.11881417
5.90000000,-8.67322602
6.00000000,-9.28600220
6.10000000,-9.01031211
6.20000000,-9.34525164
6.30000000,-9.25598703
6.40000000,-8.10097792
6.50000000,-7.68356044
6.60000000,-8.26029182
6.70000000,-7.56631304
6.80000000,-7.73775728
6.90000000,-8.09021920
7.00000000,-7.42033773
7.10000000,-6.66087447
7.20000000,-7.28984397
7.30000000,-6.30915144
7.40000000,-8.25255283
7.50000000,-6.33375905
7.60000000,-6.52537615
7.70000000,-6.53755233
7.80000000,-6.15381230
7.90000000,-7.01733755
8.00000000,-5.93147016
8.10000000,-5.44592451
8.20000000,-4.68281587
8.30000000,-5.49485698
8.40000000,-5.44164746
8.50000000,-5.08452459
8.60000000,-4.16381469
8.70000000,-4.25558800
8.80000000,-4.48357673
8.90000000,-3.74812474
9.00000000,-3.75005406
9.10000000,-3.09945835
9.20000000,-3.73462285
9.30000000,-3.33434061
9.40000000,-3.15571946
9.50000000,-3.48640025
9.60000000,-2.38436420
9.70000000,-2.19054147
9.80000000,-2.10865796
9.90000000,-2.01885379
10.00000000,-2.40569270
10.10000000,-1.69218617
10.20000000,-1.44325875
10.30000000,-1.46707287
10.40000000,-0.93481265
10.50000000,-0.44176737
10.60000000,0.51420211
10.70000000,-0.14705191
10.80000000,0.09867877
10.90000000,0.13323345
11.00000000,-0.59873233
11.10000000,0.55888361
11.20000000,0.80156200
11.30000000,2.21505562
11.40000000,1.06740877
11.50000000,1.51222755
11.60000000,1.53566767
11.70000000,1.15417797
11.80000000,2.51498637
11.90000000,2.50710100
12.00000000,2.71566676
12.10000000,2.04289631
12.20000000,3.39963442
12.30000000,2.16614723
12.40000000,3.35742507
12.50000000,4.35308251
12.60000000,2.92693773
12.70000000,3.32465883
12.80000000,3.84432111
12.90000000,3.72156214
13.00000000,3.37403276
13.10000000,4.37592367
13.20000000,3.98649012
13.30000000,4.94707249
13.40000000,4.42630523
13.50000000,5.86109075
13.60000000,4.86697516
13.70000000,5.28860959
13.80000000,6.05358393
13.90000000,5.21189312
14.00000000,6.14569162
14.10000000,6.89144027
14.20000000,5.62012718
14.30000000,6.73553611
14.40000000,6.98796005
14.50000000,7.47325319
14.60000000,6.68088473
14.70000000,6.87728990
14.80000000,8.05944839
14.90000000,8.20871169
15.00000000,8.46409039
15.10000000,8.81050601
15.20000000,8.61182258
15.30000000,9.42208787
15.40000000,9.83575283
15.50000000,9.75145535
15.60000000,11.53624882
15.70000000,11.37965454
15.80000000,11.17411188
15.90000000,12.86489975
16.00000000,12.95663473
16.10000000,14.99164700
16.20000000,16.65144976
16.30000000,17.61821582
16.40000000,21.27849485
16.50000000,25.08466897
16.60000000,31.73814521
16.70000000,43.02507027
16.80000000,59.46420230
16.90000000,80.71859385
17.00000000,93.39792793
17.10000000,95.28511756
17.20000000,93.09128062
17.30000000,89.16827970
17.40000000,84.27566722
17.50000000,79.34409764
17.60000000,73.59676737
17.70000000,69.00647795
17.80000000,62.91805717
17.90000000,59.35435343
18.00000000,53.38247919
18.10000000,47.88051291
18.20000000,43.16375987
18.30000000,39.44975644
18.40000000,34.64302675
18.50000000,30.62717800
18.60000000,25.84036819
18.70000000,20.54829943
18.80000000,14.60981847
18.90000000,8.14740696
19.00000000,2.36809720
19.10000000,-2.49343661
19.20000000,-6.56929980
19.30000000,-9.28167795
19.40000000,-9.42126812
19.50000000,-9.63139969
19.60000000,-10.35607779
19.70000000,-9.81271623
19.80000000,-9.79793462
19.90000000,-10.32110742
20.00000000,-9.46531635
20.10000000,-9.25884129
20.20000000,-8.88532645
20.30000000,-8.78629848
20.40000000,-9.89869053
20.50000000,-9.55410143
20.60000000,-8.69299155
20.70000000,-8.56386271
20.80000000,-8.42964290
20.90000000,-6.60327839
21.00000000,-8.12285279
21.10000000,-7.69220691
21.20000000,-7.63546963
21.30000000,-7.63631113
21.40000000,-7.96955738
21.50000000,-7.26646377
21.60000000,-7.87860489
21.70000000,-7.44092705
21.80000000,-7.39690063
21.90000000,-6.93678738
22.00000000,-5.63067180
22.10000000,-7.56755083
22.20000000,-6.09309083
22.30000000,-7.07132091
22.40000000,-6.30618783
22.50000000,-5.32587695
22.60000000,-5.65148978
22.70000000,-6.03417165
22.80000000,-5.65337015
22.90000000,-4.74808664
23.00000000,-5.26029717
23.10000000,-4.57817834
23.20000000,-4.46010933
23.30000000,-4.60696780
23.40000000,-2.98515815
23.50000000,-3.54104992
23.60000000,-4.67748709
23.70000000,-3.34845144
23.80000000,-3.56721197
23.90000000,-2.59004994
24.00000000,-3.21125957
24.10000000,-2.65694829
24.20000000,-2.13202842
24.30000000,-1.73829900
24.40000000,-2.57290892
24.50000000,-1.92431112
24.60000000,-1.78543671
24.70000000,-1.66640554
24.80000000,-0.23386642
24.90000000,-0.71461292
25.00000000,-1.35083796
25.10000000,-0.04257449
25.20000000,0.77148818
25.30000000,0.42355505
25.40000000,-0.66548863
25.50000000,0.05934108
25.60000000,1.14519853
25.70000000,0.34438034
25.80000000,1.12411717
25.90000000,1.48720674
26.00000000,0.82048193
26.10000000,1.45239487
26.20000000,0.03396094
26.30000000,1.34610948
26.40000000,1.92572954
26.50000000,1.60993316
26.60000000,3.25404738
26.70000000,1.88979849
26.80000000,2.57527913
