Total number of PSO iterations: 50
--------------------------------------------------

1, 1.2132E-01, 3.0989
2, 1.2077E-01, 0.8963
3, 1.1848E-01, 0.9275
4, 1.1794E-01, 0.9008
5, 1.0974E-01, 0.9284
6, 1.0661E-01, 0.9510
7, 1.0661E-01, 0.9870
8, 1.0523E-01, 0.9361
9, 1.0523E-01, 0.9221
10, 9.2898E-02, 0.9112
11, 9.2898E-02, 0.9264
12, 9.2898E-02, 0.8694
13, 9.2898E-02, 0.8887
14, 9.2898E-02, 0.8122
15, 9.2898E-02, 0.8740
16, 9.1954E-02, 0.9128
17, 9.1954E-02, 0.9379
18, 9.1954E-02, 0.9291
19, 9.1954E-02, 0.8323
20, 9.1954E-02, 0.8675
21, 9.1954E-02, 0.8758
22, 9.1593E-02, 0.9066
23, 9.1593E-02, 0.9545
24, 9.1593E-02, 0.8098
25, 9.1593E-02, 0.8044
26, 9.1593E-02, 0.9613
27, 9.1593E-02, 0.7590
28, 9.0517E-02, 0.7956
29, 9.0517E-02, 0.7271
30, 9.0517E-02, 0.8866
31, 9.0517E-02, 0.8972
32, 9.0517E-02, 0.8648
33, 9.0517E-02, 0.7021
34, 9.0328E-02, 0.8254
35, 9.0328E-02, 0.7324
36, 9.0328E-02, 0.6988
37, 9.0328E-02, 0.5872
38, 9.0328E-02, 0.6194
39, 9.0069E-02, 0.6423
40, 9.0069E-02, 0.4893
41, 8.9999E-02, 0.4912
42, 8.9999E-02, 0.4947
43, 8.9999E-02, 0.4076
44, 8.9991E-02, 0.3360
45, 8.9943E-02, 0.3780
46, 8.9855E-02, 0.3522
47, 8.9839E-02, 0.3678
48, 8.9839E-02, 0.3228
49, 8.9814E-02, 0.3219
50, 8.9790E-02, 0.2852
