9.999999974752427079e-07,1.000000000000000000e+00,3.999987185920872435e-08,1.599990519034980713e-14,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000008591450751e-05,9.999995827674865723e-01,4.399773558816377772e-07,2.129463792799324295e-11,9.999995992129311340e-01,4.007709771430938337e-07,1.609187914971920470e-11
1.110000011976808310e-04,9.999956488609313965e-01,4.418224762048339471e-06,2.175314328667354857e-08,9.999955913510869543e-01,4.387353725041502366e-06,2.129518799685963211e-08
1.111000077798962593e-03,9.999556541442871094e-01,3.070832826779223979e-05,1.372938731947215274e-05,9.999555147916571185e-01,3.064154236070403681e-05,1.384366598209347576e-05
1.970665296539664268e-03,9.999213218688964844e-01,3.555759758455678821e-05,4.325632835389114916e-05,9.999210708767328759e-01,3.555608498258074263e-05,4.337303828466519191e-05
5.462661385536193848e-03,9.997817873954772949e-01,3.641597140813246369e-05,1.819137105485424399e-04,9.997812805167374250e-01,3.648564967943892953e-05,1.822338335828291073e-04
1.430458761751651764e-02,9.994294047355651855e-01,3.641044531832449138e-05,5.343013908714056015e-04,9.994282079363954185e-01,3.642078885627573267e-05,5.353712747482158038e-04
4.374228417873382568e-02,9.982652068138122559e-01,3.620375719037838280e-05,1.698712469078600407e-03,9.982617497410166685e-01,3.620571560731788557e-05,1.702044543375959458e-03
1.746824085712432861e-01,9.932474493980407715e-01,3.529199602780863643e-05,6.717431358993053436e-03,9.932347136118307995e-01,3.529060596977804092e-05,6.729995782199388495e-03
3.666405379772186279e-01,9.863265752792358398e-01,3.406499308766797185e-05,1.363950967788696289e-02,9.863023654803465545e-01,3.406022440725336845e-05,1.366357429524631129e-02
2.067725181579589844e+00,9.401388764381408691e-01,2.681156183825805783e-05,5.983448401093482971e-02,9.400675969273738497e-01,2.679402867375543201e-05,5.990560904395229175e-02
6.226665019989013672e+00,8.766956925392150879e-01,1.934184365381952375e-05,1.232850328087806702e-01,8.766143854734530505e-01,1.932234095974600445e-05,1.233662921855866873e-01
7.948032855987548828e+00,8.590385913848876953e-01,1.770666858647018671e-05,1.409437507390975952e-01,8.589612372669009899e-01,1.768803911465315738e-05,1.410210746939834503e-01
1.656358146667480469e+01,7.992498278617858887e-01,1.328773123532300815e-05,2.007368952035903931e-01,7.991933779639078805e-01,1.327284998570949656e-05,2.007933491861062514e-01
3.808230972290039062e+01,7.207834720611572266e-01,9.380690244142897427e-06,2.792071700096130371e-01,7.207595545637599521e-01,9.370263104550963468e-06,2.792310751731346685e-01
8.470074462890625000e+01,6.359262466430664062e-01,6.625217793043702841e-06,3.640671968460083008e-01,6.359326964556318851e-01,6.618123474517700212e-06,3.640606854208933707e-01
1.000000000000000000e+02,6.172341704368591309e-01,6.153550657472806051e-06,3.827597498893737793e-01,6.172460503349480598e-01,6.147022886728195054e-06,3.827478026421651247e-01
