1.719240000000000146e+04,3.536819999999999595e+02,4.000000000000000192e-04,3.540000000000000000e+02,2.585092944724510090e-04
2.011176000000000204e+04,3.546829999999999927e+02,3.499999999999999964e-04,3.547774518261466596e+02,2.744111907587567850e-04
2.367221999999999753e+04,3.556829999999999927e+02,2.833333333333333537e-04,3.557928740034423072e+02,2.965230116305114208e-04
2.795081999999999971e+04,3.566839999999999691e+02,2.333333333333333310e-04,3.571268285526066961e+02,3.280373365824359034e-04
3.423641999999999825e+04,3.637239999999999895e+02,4.666666666666666619e-04,3.593667917995909420e+02,3.878803254810651749e-04
3.630239999999999418e+04,3.647249999999999659e+02,4.833333333333333362e-04,3.601929253069603760e+02,4.123459367390434264e-04
3.834659999999999854e+04,3.657259999999999991e+02,4.833333333333333362e-04,3.610631588954858557e+02,4.396267955708604196e-04
4.031616000000000349e+04,3.667299999999999613e+02,5.166666666666666846e-04,3.619577098819240177e+02,4.693690898683578979e-04
4.221516000000000349e+04,3.677319999999999709e+02,5.333333333333333589e-04,3.628792806476457713e+02,5.019089507289325579e-04
4.403886000000000058e+04,3.687319999999999709e+02,5.500000000000000331e-04,3.638263306853243648e+02,5.374680091087535036e-04
4.580573999999999796e+04,3.697339999999999804e+02,5.666666666666667074e-04,3.648099435697894251e+02,5.768036934127652223e-04
4.747859999999999854e+04,3.707339999999999804e+02,5.999999999999999474e-04,3.658097109088965908e+02,6.194409157451677026e-04
4.905503999999999360e+04,3.717369999999999663e+02,6.333333333333332959e-04,3.668216890709267091e+02,6.654855427632267806e-04
5.054627999999999884e+04,3.727369999999999663e+02,6.666666666666666444e-04,3.678504855334869035e+02,7.154485280346475125e-04
5.194836000000000058e+04,3.737409999999999854e+02,7.166666666666665587e-04,3.688905396336971876e+02,7.693818343763479325e-04
5.328192000000000553e+04,3.747419999999999618e+02,7.500000000000000156e-04,3.699549580862455400e+02,8.283563696803179690e-04
5.452368000000000029e+04,3.757419999999999618e+02,8.000000000000000383e-04,3.710218905324635443e+02,8.915358902801990030e-04
5.568869999999999709e+04,3.767439999999999714e+02,8.666666666666666269e-04,3.720993372159118167e+02,9.597179450036697314e-04
5.677409999999999854e+04,3.777450000000000045e+02,9.166666666666666496e-04,3.731797403656566416e+02,1.032771918708111141e-03
5.779709999999999854e+04,3.787459999999999809e+02,9.833333333333332382e-04,3.742758266378719441e+02,1.111967911806472286e-03
5.875218000000000029e+04,3.797459999999999809e+02,1.049999999999999935e-03,3.753775199499908695e+02,1.197035414311283788e-03
5.963394000000000233e+04,3.807489999999999668e+02,1.133333333333333415e-03,3.764718930000556725e+02,1.287286637682856505e-03
6.047760000000000582e+04,3.817519999999999527e+02,1.183333333333333329e-03,3.775988209646000087e+02,1.386567137446526824e-03
6.125141999999999825e+04,3.827549999999999955e+02,1.299999999999999940e-03,3.787113513143542036e+02,1.491267351633924132e-03
6.197748000000000320e+04,3.837559999999999718e+02,1.383333333333333420e-03,3.798341057943190435e+02,1.604064597853251594e-03
6.265955999999999767e+04,3.847569999999999482e+02,1.466666666666666683e-03,3.809687522241740680e+02,1.725764977738127081e-03
6.328757999999999447e+04,3.857589999999999577e+02,1.600000000000000077e-03,3.820920198917964399e+02,1.854321786448121607e-03
6.387792000000000553e+04,3.867609999999999673e+02,1.699999999999999905e-03,3.832266480909333950e+02,1.992808728842612124e-03
6.441989999999999418e+04,3.877659999999999627e+02,1.850000000000000082e-03,3.843452643172274179e+02,2.138315079959064117e-03
6.493374000000000524e+04,3.887659999999999627e+02,1.950000000000000127e-03,3.854836333769840166e+02,2.296055629850224464e-03
6.540239999999999418e+04,3.897669999999999959e+02,2.133333333333333436e-03,3.865973618844416819e+02,2.460341684468303654e-03
6.584393999999998778e+04,3.907669999999999959e+02,2.266666666666666829e-03,3.877217973988489348e+02,2.636751433630010050e-03
6.625680000000000291e+04,3.917679999999999723e+02,2.433333333333333355e-03,3.888483628629579130e+02,2.824697675664132861e-03
6.663461999999999534e+04,3.927699999999999818e+02,2.650000000000000012e-03,3.899517500201936855e+02,3.020228867109769639e-03
6.698760000000000582e+04,3.937749999999999773e+02,2.850000000000000103e-03,3.910536310063142764e+02,3.227398302493603762e-03
6.731994000000000233e+04,3.947769999999999868e+02,3.016666666666666628e-03,3.921621914629113803e+02,3.448451059822645048e-03
6.762413999999999942e+04,3.957789999999999964e+02,3.299999999999999982e-03,3.932453133756298485e+02,3.677287382842057539e-03
6.790859999999999127e+04,3.967799999999999727e+02,3.516666666666666639e-03,3.943250022406098196e+02,3.918677879958549354e-03
6.817217999999999302e+04,3.977839999999999918e+02,3.816666666666666992e-03,3.953904273858653937e+02,4.170511080726436830e-03
6.841847999999999593e+04,3.987849999999999682e+02,4.066666666666666347e-03,3.964495580966980697e+02,4.434921494761330518e-03
6.864941999999999825e+04,3.997859999999999445e+02,4.333333333333333134e-03,3.975052664649849135e+02,4.713090190619019342e-03
6.886313999999999942e+04,4.007869999999999777e+02,4.683333333333333619e-03,3.985427767551091733e+02,5.001334175763566536e-03
6.906527999999999884e+04,4.017880000000000109e+02,4.949999999999999539e-03,3.995839776970222488e+02,5.306096435749108400e-03
6.925458000000000175e+04,4.027889999999999873e+02,5.283333333333333458e-03,4.006180376393758706e+02,5.624815143569198220e-03
7.104000000000000000e+04,4.071809999999999832e+02,6.183333333333333216e-03,4.151620877445843689e+02,1.224541977889497500e-02
7.119396000000000640e+04,4.081809999999999832e+02,6.500000000000000569e-03,4.171434876058356735e+02,1.353368791588908937e-02
7.133100000000000000e+04,4.091849999999999454e+02,7.333333333333333197e-03,4.190896723033995386e+02,1.491079489037609555e-02
7.145850000000000000e+04,4.101859999999999786e+02,7.849999999999999339e-03,4.210857158133817961e+02,1.644621939109889089e-02
7.157555999999999767e+04,4.111879999999999882e+02,8.550000000000000308e-03,4.231068594204684814e+02,1.813658816317821956e-02
7.168517999999999302e+04,4.121909999999999741e+02,9.150000000000000147e-03,4.251959559914264446e+02,2.003702312442183150e-02
7.178507999999998719e+04,4.131920000000000073e+02,1.003333333333333334e-02,4.272984162682387819e+02,2.211750561015338526e-02
7.187868000000000757e+04,4.141970000000000027e+02,1.073333333333333431e-02,4.294748799904041334e+02,2.446058018315633645e-02
7.196483999999999651e+04,4.151989999999999554e+02,1.163333333333333233e-02,4.316908081993191217e+02,2.705722278231695657e-02
7.204494000000000233e+04,4.162039999999999509e+02,1.255000000000000039e-02,4.339709569412485735e+02,2.996616622110185105e-02
7.212047999999999593e+04,4.172049999999999841e+02,1.325000000000000136e-02,4.363558651957790744e+02,3.328298014572880076e-02
7.218954000000000815e+04,4.182060000000000173e+02,1.450000000000000074e-02,4.387771777433220564e+02,3.695601493271950810e-02
7.225590000000000873e+04,4.192060000000000173e+02,1.506666666666666744e-02,4.413672465305733112e+02,4.124822709209323424e-02
7.231938000000000466e+04,4.202089999999999463e+02,1.579999999999999807e-02,4.441400324031976652e+02,4.628673146388090354e-02
7.237704000000000815e+04,4.212110000000000127e+02,1.738333333333333050e-02,4.469658330798657175e+02,5.192449655756949806e-02
7.242863999999999942e+04,4.222149999999999750e+02,1.946666666666666684e-02,4.497995874764786208e+02,5.812058362753461105e-02
7.247441999999999825e+04,4.232219999999999800e+02,2.198333333333333389e-02,4.526089511228599349e+02,6.483183072345635733e-02
7.251612000000000990e+04,4.242239999999999895e+02,2.403333333333333363e-02,4.554623205981102956e+02,7.226013733559709384e-02
7.255469999999999709e+04,4.252279999999999518e+02,2.603333333333333541e-02,4.584058510753483233e+02,8.060326998059176573e-02
7.259039999999999418e+04,4.262309999999999945e+02,2.809999999999999998e-02,4.614453201706637628e+02,8.997867008207652284e-02
