1.006134969325153394e-01,1.485559999999999970e-06,1.581340909235488777e-06,-1.399904503821873380e-06,1.414164662859043631e+00,2.934445100851651239e-05
1.092024539877300554e-01,1.485559999999999970e-06,1.971093314519738736e-06,-1.085592369964690892e-06,6.882889846629534958e+00,5.934775212369637843e-05
1.171779141104294514e-01,1.702159999999999937e-06,2.521733106590018117e-06,-6.158487128935556879e-07,1.480491481318513358e+01,7.612025678119017935e-05
1.202453987730061208e-01,2.048709999999999821e-06,2.760815021833738407e-06,-4.018910497684594722e-07,1.831863090009218453e+01,7.926636843341373819e-05
1.239263803680981380e-01,2.337500000000000066e-06,3.053971671441315755e-06,-1.297924030904275247e-07,2.270544436522980192e+01,7.960825936426560684e-05
1.269938650306748351e-01,2.640729999999999957e-06,3.297482855790545105e-06,1.029034445075412694e-07,2.640131735717456962e+01,7.904959013366804222e-05
1.300613496932515600e-01,2.972839999999999984e-06,3.539555205769648853e-06,3.294898594305443448e-07,3.004021414845620086e+01,7.809941874250360188e-05
1.337423312883435633e-01,3.247200000000000013e-06,3.821965787684831731e-06,5.844497464501559782e-07,3.421033139778192123e+01,7.454763476340636416e-05
1.349693251533742311e-01,3.550429999999999903e-06,3.912776483079236090e-06,6.640822338732903881e-07,3.552964648806462122e+01,7.331036065112094783e-05
1.386503067484662344e-01,3.810340000000000012e-06,4.167003742245429807e-06,8.833682039473274132e-07,3.920531666548608740e+01,6.531525640952054934e-05
1.411042944785275699e-01,4.200219999999999742e-06,4.319217879800138909e-06,1.011032985048322220e-06,4.137445264265999612e+01,5.884739035961674281e-05
1.460122699386502965e-01,4.532330000000000192e-06,4.568386361694717082e-06,1.215308874903796688e-06,4.489169954151384445e+01,4.219771003876734771e-05
1.515337423312883569e-01,4.806680000000000369e-06,4.743321225478083384e-06,1.354896946479049729e-06,4.732875492297482367e+01,2.038685570964119775e-05
1.631901840490797562e-01,4.907759999999999578e-06,4.691077719230910532e-06,1.308240183705296802e-06,4.655438023523930724e+01,-2.877687520955411529e-05
1.730061349693251538e-01,4.878880000000000288e-06,4.235617032881059637e-06,9.170768561435488779e-07,3.997876330880733775e+01,-6.179517658261993239e-05
1.797546012269938265e-01,4.633410000000000248e-06,3.768864370134146048e-06,4.990128762079221535e-07,3.310956313996616984e+01,-7.476133970146195840e-05
1.840490797546012192e-01,4.359050000000000218e-06,3.436950907927253938e-06,1.905675591503020041e-07,2.814224619221837287e+01,-7.827707402045080271e-05
